 row_number | game_match_uuid |         player_1_fingerprint         | player_1_action | player_1_score |         player_2_fingerprint         | player_2_action | player_2_score | player_1_cooperation_percent | player_2_cooperation_percent | avg_cooperation_percent | player_1_cumulative_score | player_2_cumulative_score | player_1_country | player_1_city | player_2_country | player_2_city |   round_start    |    round_end     | match_complete | match_completed_at 
         16 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 |                       0.4375 |                          0.5 |                 0.46875 |                       250 |                       220 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:31 | 2025-06-03 14:31 | t              | 2025-06-03 14:31
         17 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 |          0.47058823529411764 |          0.47058823529411764 |     0.47058823529411764 |                       250 |                       250 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:31 | 2025-06-03 14:31 | t              | 2025-06-03 14:31
         18 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             10 | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             10 |           0.4444444444444444 |           0.4444444444444444 |      0.4444444444444444 |                       260 |                       260 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:31 | 2025-06-03 14:31 | t              | 2025-06-03 14:31
         19 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 |          0.42105263157894735 |          0.47368421052631576 |      0.4473684210526315 |                       290 |                       260 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:31 | 2025-06-03 14:31 | t              | 2025-06-03 14:31
         20 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 |                         0.45 |                         0.45 |                    0.45 |                       290 |                       290 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:31 | 2025-06-03 14:31 | t              | 2025-06-03 14:31
         21 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 |          0.42857142857142855 |          0.47619047619047616 |     0.45238095238095233 |                       320 |                       290 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:31 | 2025-06-03 14:31 | t              | 2025-06-03 14:31
         22 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 |          0.45454545454545453 |          0.45454545454545453 |     0.45454545454545453 |                       320 |                       320 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:31 | 2025-06-03 14:31 | t              | 2025-06-03 14:31
         23 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 |          0.43478260869565216 |           0.4782608695652174 |      0.4565217391304348 |                       350 |                       320 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:31 | 2025-06-03 14:31 | t              | 2025-06-03 14:31
         24 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 |           0.4583333333333333 |           0.4583333333333333 |      0.4583333333333333 |                       350 |                       350 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:31 | 2025-06-03 14:31 | t              | 2025-06-03 14:31
         25 | a16ea013        | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 |                         0.44 |                         0.48 |     0.45999999999999996 |                       380 |                       350 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 14:31 | 2025-06-03 14:31 | t              | 2025-06-03 14:31
          1 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Defect          |             30 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Cooperate       |              0 |                            0 |                            1 |                     0.5 |                        30 |                         0 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:04 | 2025-06-03 15:04 | t              | 2025-06-03 15:06
          2 | e3d3c00e        | a511ba7a-5db3-424c-b413-a193aafd07ec | Cooperate       |              0 | c870e1cd-7d1f-4423-9698-a27737a27b05 | Defect          |             30 |                          0.5 |                          0.5 |                     0.5 |                        30 |                        30 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-03 15:04 | 2025-06-03 15:04 | t              | 2025-06-03 15:06
