 round_number | game_match_uuid | game_mode |       player_1_fingerprint       | player_1_ip_address | player_1_coins_to_keep | player_1_coins_to_offer | player_1_response_to_p2_offer | player_1_coins_made_in_round |       player_2_fingerprint       | player_1_ip_address | player_2_coins_to_keep | player_2_coins_to_offer | player_2_response_to_p1_offer | player_2_coins_made_in_round | players_sum_coins_in_round | players_sum_coins_total | player_1_final_score | player_2_final_score | player_1_country | player_1_city | player_2_country | player_2_city |   round_start    |    round_end     | match_complete 
           15 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     93 |                       7 | accept                        |                          159 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     34 |                      66 | accept                        |                           41 |                        200 |                    2700 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:33 | 2025-06-11 09:33 | t
           16 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     30 |                      70 | reject                        |                           30 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     10 |                      90 | accept                        |                           70 |                        100 |                    2800 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:33 | 2025-06-11 09:34 | t
           17 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     60 |                      40 | accept                        |                          160 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                      0 |                     100 | accept                        |                           40 |                        200 |                    3000 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:34 | 2025-06-11 09:34 | t
           18 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     96 |                       4 | accept                        |                          105 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     91 |                       9 | accept                        |                           95 |                        200 |                    3200 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:34 | 2025-06-11 09:34 | t
           19 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     96 |                       4 | accept                        |                          102 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     94 |                       6 | accept                        |                           98 |                        200 |                    3400 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:34 | 2025-06-11 09:34 | t
           20 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     96 |                       4 | accept                        |                          104 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     92 |                       8 | accept                        |                           96 |                        200 |                    3600 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:34 | 2025-06-11 09:34 | t
           21 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     23 |                      77 | accept                        |                           31 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     92 |                       8 | accept                        |                          169 |                        200 |                    3800 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:34 | 2025-06-11 09:35 | t
           22 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     96 |                       4 | reject                        |                           96 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     23 |                      77 | accept                        |                            4 |                        100 |                    3900 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:35 | 2025-06-11 09:35 | t
           23 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     56 |                      44 | accept                        |                           62 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     94 |                       6 | accept                        |                          138 |                        200 |                    4100 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:35 | 2025-06-11 09:35 | t
           24 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     93 |                       7 | accept                        |                           99 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     94 |                       6 | accept                        |                          101 |                        200 |                    4300 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:35 | 2025-06-11 09:35 | t
           25 | 3c2bacd2        | online    | player_1749634243952_yvpgzqwyxyo | 172.18.0.1          |                     95 |                       5 | reject                        |                           95 | player_1749629769380_4jgjf601d08 | 172.18.0.1          |                     60 |                      40 | accept                        |                            5 |                        100 |                    4400 |                 2439 |                 1961 | Unknown          | Unknown       | Unknown          | Unknown       | 2025-06-11 09:35 | 2025-06-11 09:35 | t
(25 rows)

